,NASDAQ,USD-GBP,USD-JPY,USD-CAD,Bitcoin
2018-10-16,0.8553294239390286,0.981375689796732,1.0273493337819446,0.9779337587986852,1.0573742679639297
2018-10-17,0.841757705920754,0.9875747341824765,1.0299647159349363,0.9846924012146304,1.0684301998368273
2018-10-18,0.8347630867855214,0.9936572229883293,1.0259135457723831,0.9887672874300206,1.070297140141979
2018-10-19,0.8426973256107759,0.9936572229883293,1.0259135457723831,0.9887672874300206,1.070297140141979
2018-10-22,0.8457248651578998,0.9981221270752307,1.0311444496175095,0.9901356164670275,1.068590007510197
2018-10-23,0.8524063042794708,0.99694446060388,1.0282820831818098,0.9889032821950106,1.0652836904670822
2018-10-24,0.8507359046745595,1.0041399742027581,1.0243315207411958,0.9863933721850888,1.0684993793400441
2018-10-25,0.8726593817702794,1.0091224745445075,1.0274224522927575,0.9881473351514478,1.0687533396124063
2018-10-26,0.8718242616168608,1.0091224745445075,1.0274224522927575,0.9881473351514478,1.0687533396124063
2018-10-29,0.8777749208235424,1.0086177603425002,1.0233804219440559,0.9900222424349815,1.0927391925210317
2018-10-30,0.8960444983448149,1.0108695740342322,1.0271846775934725,0.992539722730032,1.092456130536254
2018-10-31,0.9052314572247159,1.018311003707694,1.0338421598647374,0.9914208526125031,1.0953368979715172
2018-11-01,0.9082589967718397,1.0134837822423988,1.0320040107369903,0.9947094205213738,1.0850033733127058
2018-11-02,0.9082589967718397,0.9952232023578774,1.0307602983574558,0.989621558057814,1.083192421077115
2018-11-05,0.9266329941806787,0.9950808055342635,1.0346377422872568,0.9904153565270203,1.0779250111298562
2018-11-06,0.935506773046918,0.991081892352807,1.0356162605259516,0.991057929538537,1.0710265962137437
2018-11-07,0.9475125113478474,0.9869664235914586,1.0366861769031626,0.9915946988031364,1.0596883072418362
2018-11-08,0.9535675107930581,0.9857628387383449,1.038368809656289,0.9915493672148065,1.0722361801913858
2018-11-09,0.943754191885834,0.9904218221363041,1.0420816671671895,0.9935981206889736,1.0836713406073903
2018-11-12,0.9249625945757673,1.0002445031342302,1.0411031489284948,0.9973856965592423,1.0861119572296105
2018-11-13,0.9254846143645614,1.0065082663363412,1.0397314093854662,1.0010976597006664,1.0881236005131065
2018-11-14,0.8966708583721382,0.9944337716466831,1.040581900460667,0.9997822325371181,1.205905984403277
2018-11-15,0.9195339551578798,0.996569106896564,1.0385243260309096,1.0014756332224477,1.2251904506362323
